                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3304,                 3.6881,                0.71474,                 1.5506,                 1.2926,                0.97612,                0.98039,                0.99194,                0.73867,                0.97612,                0.98039,                0.98437,                0.63714,                0.93464,                 1.7934,                0.66863,                 0.6531,                  1.082,             0.00066092,             0.00066092,             0.00066092
                      2,                 1.0162,                 1.3685,                0.68082,                0.76114,                 1.0696,                 0.9803,                0.97584,                0.98726,                0.73488,                 0.9803,                0.97584,                0.98726,                0.69502,                0.94126,                0.99289,                0.64428,                0.65882,                 1.0479,               0.001321,               0.001321,               0.001321
                      3,                0.96753,                0.77295,                0.59222,                 0.7454,                 1.0375,                0.99777,                0.98039,                0.99444,                0.77793,                0.99777,                0.98039,                0.99444,                0.86859,                0.87555,                0.43069,                0.46985,                 0.6193,                 1.0406,              0.0019745,              0.0019745,              0.0019745
                      4,                0.97287,                0.54733,                0.50368,                0.72107,                 1.0452,                0.99837,                0.98039,                0.99336,                0.77129,                0.99837,                0.98039,                0.99336,                0.94515,                0.85878,                0.30189,                0.35509,                0.57682,                 1.0015,              0.0019703,              0.0019703,              0.0019703
                      5,                0.93245,                0.45061,                 0.4587,                0.65443,                 1.0267,                0.94432,                0.99766,                0.98861,                0.77809,                0.94432,                0.99766,                0.98861,                0.97846,                0.82146,                 0.2145,                0.23784,                0.57763,                 1.0074,              0.0019703,              0.0019703,              0.0019703
                      6,                0.92572,                0.34567,                0.39327,                0.64247,                 1.0545,                0.99991,                      1,                  0.995,                0.78074,                0.99991,                      1,                  0.995,                0.98983,                0.88401,                0.17646,                0.15002,                0.49956,                 1.0842,              0.0019604,              0.0019604,              0.0019604
                      7,                0.95146,                0.32444,                0.35765,                0.61765,                 1.0689,                0.99589,                      1,                  0.995,                0.77518,                0.99589,                      1,                  0.995,                0.98083,                0.81045,                0.11088,                0.11395,                0.49987,                 1.0248,              0.0019505,              0.0019505,              0.0019505
                      8,                0.91654,                0.29653,                0.36008,                0.59806,                 1.0531,                0.99799,                      1,                  0.995,                0.77248,                0.99799,                      1,                  0.995,                 0.9912,                0.85038,                0.12845,                0.09785,                0.51935,                 1.0418,              0.0019406,              0.0019406,              0.0019406
