                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.74131,                0.17554,                0.12758,                0.45832,                0.96935,                0.99853,                      1,                  0.995,                 0.8095,                0.99853,                      1,                  0.995,                0.99399,                0.73486,                 0.0789,                0.02911,                0.40062,                 1.0077,              0.0017921,              0.0017921,              0.0017921
                     24,                0.74408,                0.15441,                 0.1193,                0.46298,                0.97159,                0.99874,                      1,                  0.995,                0.83413,                0.99874,                      1,                  0.995,                0.99408,                0.68703,                0.06634,                0.03071,                 0.3986,                 0.9648,              0.0017822,              0.0017822,              0.0017822
                     25,                0.75409,                0.17352,                0.12593,                0.46641,                0.96071,                 0.9987,                      1,                  0.995,                0.83494,                 0.9987,                      1,                  0.995,                0.99418,                0.67299,                0.09177,                0.03237,                 0.3963,                0.96653,              0.0017723,              0.0017723,              0.0017723
                     26,                0.74423,                0.15769,                0.11029,                0.45636,                0.95678,                0.99874,                      1,                  0.995,                0.81397,                0.99874,                      1,                  0.995,                0.99365,                0.72098,                0.07311,                 0.0235,                 0.4151,                 1.0016,              0.0017624,              0.0017624,              0.0017624
                     27,                0.72544,                  0.144,                0.09781,                0.42829,                0.94996,                0.99873,                      1,                  0.995,                0.84312,                0.99873,                      1,                  0.995,                  0.995,                0.64149,                0.05932,                0.02223,                0.36445,                0.94718,              0.0017525,              0.0017525,              0.0017525
                     28,                0.69419,                  0.127,                0.08741,                0.40663,                0.95723,                0.99873,                      1,                  0.995,                0.82641,                0.99873,                      1,                  0.995,                  0.995,                 0.6785,                0.05905,                0.02397,                0.39817,                0.96831,              0.0017426,              0.0017426,              0.0017426
                     29,                0.72697,                0.13726,                0.08726,                0.42485,                0.95715,                0.99863,                      1,                  0.995,                 0.8162,                0.99863,                      1,                  0.995,                  0.993,                0.73324,                0.06263,                0.01997,                0.40214,                0.99605,              0.0017327,              0.0017327,              0.0017327
                     30,                0.71558,                0.12313,                0.08691,                0.41326,                0.95483,                0.99876,                      1,                  0.995,                0.80899,                0.99876,                      1,                  0.995,                0.99469,                 0.7104,                0.06386,                0.02148,                0.38506,                0.99129,              0.0017228,              0.0017228,              0.0017228
                     31,                0.71209,                0.12304,                0.08491,                0.41533,                0.96281,                0.99891,                      1,                  0.995,                 0.8415,                0.99891,                      1,                  0.995,                0.99431,                0.67785,                0.06993,                0.01753,                0.37458,                0.97156,              0.0017129,              0.0017129,              0.0017129
                     32,                0.71413,                0.13396,                0.09249,                0.42782,                0.96095,                0.99899,                      1,                  0.995,                0.84831,                0.99899,                      1,                  0.995,                  0.995,                0.64394,                0.07602,                0.01844,                 0.3652,                0.95974,               0.001703,               0.001703,               0.001703
                     33,                0.74259,                0.13577,                0.08655,                0.43436,                0.97418,                0.99855,                      1,                  0.995,                0.85405,                0.99855,                      1,                  0.995,                0.99428,                0.63668,                0.06161,                0.01417,                0.36685,                0.97133,              0.0016931,              0.0016931,              0.0016931
                     34,                0.69861,                0.12393,                0.06886,                0.40501,                0.95225,                0.99877,                      1,                  0.995,                0.85294,                0.99877,                      1,                  0.995,                0.99427,                 0.6307,                 0.0631,                0.01645,                0.36757,                0.95802,              0.0016832,              0.0016832,              0.0016832
                     35,                0.72551,                0.11218,                0.06896,                0.41471,                0.97045,                0.99881,                      1,                  0.995,                0.81979,                0.99881,                      1,                  0.995,                0.99434,                0.71102,                0.07772,                0.01643,                0.38443,                0.98259,              0.0016733,              0.0016733,              0.0016733
                     36,                0.72471,                0.13035,                0.07462,                0.41038,                0.96473,                0.99818,                      1,                  0.995,                0.83039,                0.99818,                      1,                  0.995,                  0.995,                 0.7009,                0.07236,                0.01745,                0.39571,                0.97455,              0.0016634,              0.0016634,              0.0016634
                     37,                 0.7025,                0.13231,                0.08169,                0.41024,                0.95711,                0.99879,                      1,                  0.995,                0.84196,                0.99879,                      1,                  0.995,                0.99463,                0.67795,                 0.0663,                0.02111,                0.36893,                0.98429,              0.0016535,              0.0016535,              0.0016535
                     38,                0.67891,                0.11216,                0.06619,                0.38666,                0.94521,                0.99882,                      1,                  0.995,                  0.855,                0.99882,                      1,                  0.995,                0.99395,                0.67406,                0.05563,                0.01703,                0.36898,                0.97234,              0.0016436,              0.0016436,              0.0016436
