                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3304,                 3.6881,                0.71474,                 1.5506,                 1.2926,                0.97612,                0.98039,                0.99194,                0.73867,                0.97612,                0.98039,                0.98437,                0.63714,                0.93464,                 1.7934,                0.66863,                 0.6531,                  1.082,             0.00066092,             0.00066092,             0.00066092
                      2,                 1.0162,                 1.3685,                0.68082,                0.76114,                 1.0696,                 0.9803,                0.97584,                0.98726,                0.73488,                 0.9803,                0.97584,                0.98726,                0.69502,                0.94126,                0.99289,                0.64428,                0.65882,                 1.0479,               0.001321,               0.001321,               0.001321
                      3,                0.96753,                0.77295,                0.59222,                 0.7454,                 1.0375,                0.99777,                0.98039,                0.99444,                0.77793,                0.99777,                0.98039,                0.99444,                0.86859,                0.87555,                0.43069,                0.46985,                 0.6193,                 1.0406,              0.0019745,              0.0019745,              0.0019745
                      4,                0.97287,                0.54733,                0.50368,                0.72107,                 1.0452,                0.99837,                0.98039,                0.99336,                0.77129,                0.99837,                0.98039,                0.99336,                0.94515,                0.85878,                0.30189,                0.35509,                0.57682,                 1.0015,              0.0019703,              0.0019703,              0.0019703
                      5,                0.93245,                0.45061,                 0.4587,                0.65443,                 1.0267,                0.94432,                0.99766,                0.98861,                0.77809,                0.94432,                0.99766,                0.98861,                0.97846,                0.82146,                 0.2145,                0.23784,                0.57763,                 1.0074,              0.0019703,              0.0019703,              0.0019703
                      6,                0.92572,                0.34567,                0.39327,                0.64247,                 1.0545,                0.99991,                      1,                  0.995,                0.78074,                0.99991,                      1,                  0.995,                0.98983,                0.88401,                0.17646,                0.15002,                0.49956,                 1.0842,              0.0019604,              0.0019604,              0.0019604
                      7,                0.95146,                0.32444,                0.35765,                0.61765,                 1.0689,                0.99589,                      1,                  0.995,                0.77518,                0.99589,                      1,                  0.995,                0.98083,                0.81045,                0.11088,                0.11395,                0.49987,                 1.0248,              0.0019505,              0.0019505,              0.0019505
                      8,                0.91654,                0.29653,                0.36008,                0.59806,                 1.0531,                0.99799,                      1,                  0.995,                0.77248,                0.99799,                      1,                  0.995,                 0.9912,                0.85038,                0.12845,                0.09785,                0.51935,                 1.0418,              0.0019406,              0.0019406,              0.0019406
                      9,                  0.876,                0.27102,                0.34867,                0.56226,                  1.016,                0.97905,                      1,                0.99481,                0.79269,                0.97905,                      1,                0.99481,                0.99479,                0.77083,                 0.1247,                0.10215,                 0.4781,                 1.0066,              0.0019307,              0.0019307,              0.0019307
                     10,                0.86993,                0.27198,                0.35831,                0.55991,                 1.0173,                0.99838,                      1,                  0.995,                0.74491,                0.99838,                      1,                  0.995,                 0.9851,                 0.8449,                0.15535,                0.09456,                0.50594,                 1.0259,              0.0019208,              0.0019208,              0.0019208
                     11,                0.87116,                0.25032,                0.31758,                0.56062,                  1.024,                0.99996,                      1,                  0.995,                 0.7734,                0.99996,                      1,                  0.995,                0.99173,                0.87739,                0.10533,                0.09272,                0.49766,                 1.0691,              0.0019109,              0.0019109,              0.0019109
                     12,                0.89884,                0.24748,                0.31569,                0.55849,                 1.0188,                0.99813,                      1,                  0.995,                0.79747,                0.99813,                      1,                  0.995,                0.99113,                0.82847,                0.11783,                0.08196,                0.45968,                 1.0044,               0.001901,               0.001901,               0.001901
                     13,                0.81898,                0.21719,                0.30348,                0.52438,                 0.9795,                0.99864,                      1,                  0.995,                0.81414,                0.99864,                      1,                  0.995,                0.99221,                0.75288,                0.10338,                0.08736,                0.47691,                0.99222,              0.0018911,              0.0018911,              0.0018911
                     14,                 0.8053,                0.20757,                0.26268,                0.52306,                0.98575,                0.99902,                      1,                  0.995,                0.80068,                0.99902,                      1,                  0.995,                0.99383,                 0.8578,                0.09201,                0.07141,                0.45874,                 1.0269,              0.0018812,              0.0018812,              0.0018812
                     15,                0.81976,                0.20323,                0.24478,                0.52646,                 1.0022,                0.99872,                      1,                  0.995,                0.78902,                0.99872,                      1,                  0.995,                0.99409,                0.74225,                0.09509,                0.05445,                0.45733,                 1.0129,              0.0018713,              0.0018713,              0.0018713
                     16,                0.80893,                0.22082,                0.23249,                0.49655,                0.98476,                0.99914,                      1,                  0.995,                0.81578,                0.99914,                      1,                  0.995,                0.99396,                0.73718,                0.08106,                0.06477,                0.43287,                0.97496,              0.0018614,              0.0018614,              0.0018614
                     17,                 0.7759,                0.21554,                0.22968,                0.48374,                0.97516,                0.99858,                      1,                  0.995,                0.80442,                0.99858,                      1,                  0.995,                0.99424,                0.71078,                0.10785,                0.05066,                0.42866,                0.96839,              0.0018515,              0.0018515,              0.0018515
                     18,                0.78308,                0.21133,                0.23783,                 0.4945,                0.97969,                0.99856,                      1,                  0.995,                0.81373,                0.99856,                      1,                  0.995,                0.99416,                0.74821,                0.08511,                0.05438,                0.48819,                0.98886,              0.0018416,              0.0018416,              0.0018416
                     19,                0.78666,                0.17377,                0.20999,                0.48829,                 0.9947,                0.99873,                      1,                  0.995,                0.81896,                0.99873,                      1,                  0.995,                0.99346,                0.73823,                0.07825,                0.04913,                0.41693,                0.99573,              0.0018317,              0.0018317,              0.0018317
                     20,                0.80639,                0.18226,                0.18071,                0.49405,                0.99754,                 0.9983,                      1,                  0.995,                0.82534,                 0.9983,                      1,                  0.995,                  0.995,                 0.7369,                0.07075,                0.04185,                0.42702,                 1.0185,              0.0018218,              0.0018218,              0.0018218
